"","Headline","Publication","Summary","Date"
"1013","In search of 'lost seeds' and flavors of the past","China Daily, 575 words",NA,2020-06-29
"1014","Latest on the COVID-19 outbreak","China Daily, 6066 words",NA,2020-12-16
"1015","China works to ensure long-term peace, stability for Xinjiang","China Daily, 948 words",NA,2020-10-03
"1016","Interregional group tours resuming after 6 months","China Daily, 673 words",NA,2020-07-16
"1017","Latest on the COVID-19 outbreak","China Daily, 5852 words",NA,2020-12-14
"1018","Top diplomat: Cooperation only correct choice for China, US","China Daily, 674 words",NA,2020-06-19
"1019","China urges US to avoid misjudgment","China Daily, 773 words",NA,2020-08-08
"1020","Latest on the COVID-19 outbreak","China Daily, 5754 words",NA,2020-12-13
"1021","Total power","China Daily, 1478 words",NA,2020-12-29
"1022","Nation readies for fall, winter spikes","China Daily, 763 words",NA,2020-08-06
"1023","Latest on the COVID-19 outbreak","China Daily, 6708 words",NA,2020-12-24
"1024","China expands its arsenal in COVID battle","China Daily, 1280 words",NA,2020-11-19
"1025","Latest on the COVID-19 outbreak","China Daily, 4652 words",NA,2020-11-27
"1026","Latest on the novel coronavirus outbreak","China Daily, 768 words",NA,2020-08-06
"1027","Domestic producers use social platforms to attract consumers","China Daily, 583 words",NA,2020-05-12
"1028","HK part of West's war against China, says Malaysian journalist","China Daily, 746 words",NA,2020-07-29
"1029","New music show hits the right note with elderly participants","China Daily, 757 words",NA,2020-07-30
"1030","Latest on the COVID-19 outbreak","China Daily, 6359 words",NA,2020-12-19
"1031","Latest on the COVID-19 outbreak","China Daily, 6560 words",NA,2020-12-22
"1032","Tibet , Xinjiang lead GDP growth stakes","China Daily, 786 words",NA,2020-07-30
"1033","China plans more maglev lines","China Daily, 715 words",NA,2020-07-08
"1034","Latest on the COVID-19 outbreak","China Daily, 6349 words",NA,2020-12-20
"1035","Latest on the COVID-19 outbreak","China Daily, 4505 words",NA,2020-11-25
"1036","Latest on the COVID-19 outbreak","China Daily, 4524 words",NA,2020-11-26
"1037","Latest on the COVID-19 outbreak","China Daily, 7067 words",NA,2020-12-31
"1038","Education changes herders' destinies","China Daily, 587 words",NA,2020-06-04
"1039","Latest on the COVID-19 outbreak","China Daily, 7104 words",NA,2020-12-30
"1040","Latest on the COVID-19 outbreak","China Daily, 4285 words",NA,2020-11-23
"1041","Latest on the COVID-19 outbreak","China Daily, 4373 words",NA,2020-11-24
"1042","Speed, cost, convenience helping propel demand for clean energy vehicles","China Daily, 894 words",NA,2020-09-01
"1043","Latest on the COVID-19 outbreak","China Daily, 7229 words",NA,2021-01-02
"1044","Latest on the COVID-19 outbreak","China Daily, 4226 words",NA,2020-11-22
"1045","Domestic refiners to benefit from lower energy costs","China Daily, 504 words",NA,2020-04-16
"1046","Idle ex-village chief rediscovers value of work","China Daily, 574 words",NA,2020-06-04
"1047","Latest on the COVID-19 outbreak","China Daily, 7030 words",NA,2020-12-29
"1048","Latest on the COVID-19 outbreak","China Daily, 6895 words",NA,2020-12-28
"1049","Latest on the COVID-19 outbreak","China Daily, 6858 words",NA,2020-12-26
"1050","National security law for HK a mirror to West","China Daily, 809 words",NA,2020-07-17
"1051","Equipment maker DHHI to increase global market share via sustained innovation efforts","China Daily, 992 words",NA,2020-09-11
"1052","Latest on the COVID-19 outbreak","China Daily, 6814 words",NA,2020-12-27
"1053","Latest on the COVID-19 outbreak","China Daily, 6796 words",NA,2020-12-25
"1054","Latest on the COVID-19 outbreak","China Daily, 2849 words",NA,2020-11-06
"1055","Latest on the COVID-19 outbreak","China Daily, 2780 words",NA,2020-11-05
"1056","Latest on the COVID-19 outbreak","China Daily, 5154 words",NA,2020-12-07
"1057","Latest on the COVID-19 outbreak","China Daily, 2728 words",NA,2020-11-04
"1058","Latest on the COVID-19 outbreak","China Daily, 4995 words",NA,2020-12-04
"1059","US itching to trigger a new 'Cold War'","China Daily, 808 words",NA,2020-07-29
"1060","Latest on the COVID-19 outbreak","China Daily, 5054 words",NA,2020-12-05
"1061","China offers alternative path for developing","China Daily, 822 words",NA,2020-07-28
"1062","Military medics leave Wuhan after fulfilling anti-virus duties","China Daily, 555 words",NA,2020-04-17
"1063","Latest on the COVID-19 outbreak","China Daily, 5031 words",NA,2020-12-03
"1064","Latest on the COVID-19 outbreak","China Daily, 4928 words",NA,2020-12-02
"1065","Double standard of West on HK and Xinjiang has been exposed","China Daily, 718 words",NA,2020-07-02
"1066","Decline in air pollutants the flip side of outbreak, ministry says","China Daily, 661 words",NA,2020-05-18
"1067","Poverty fight grounded in success","China Daily, 827 words",NA,2020-07-20
"1068","Latest on the COVID-19 outbreak","China Daily, 4890 words",NA,2020-12-01
"1069","Ties with Djibouti lifted to next level","China Daily, 1029 words",NA,2020-08-21
"1070","Latest on the COVID-19 outbreak","China Daily, 4825 words",NA,2020-11-30
"1071","Latest on the novel coronavirus outbreak","China Daily, 912 words",NA,2020-08-07
"1072","Reducing poverty by building local industries","China Daily, 948 words",NA,2020-08-10
"1073","China has always pursued peaceful foreign policies","China Daily, 674 words",NA,2020-05-26
"1074","Latest on the COVID-19 outbreak","China Daily, 4778 words",NA,2020-11-28
"1075","Tianjin e-commerce firms spend $216m on poverty alleviation","China Daily, 627 words",NA,2020-04-30
"1076","Latest on the COVID-19 outbreak","China Daily, 3093 words",NA,2020-11-09
"1077","Latest on the COVID-19 outbreak","China Daily, 5626 words",NA,2020-12-12
"1078","Latest on the COVID-19 outbreak","China Daily, 5403 words",NA,2020-12-09
"1079","Latest on the COVID-19 outbreak","China Daily, 5549 words",NA,2020-12-11
"1080","Latest on the COVID-19 outbreak","China Daily, 2934 words",NA,2020-11-07
"1081","Latest on the COVID-19 outbreak","China Daily, 5243 words",NA,2020-12-08
"1082","Latest on the COVID-19 outbreak","China Daily, 5240 words",NA,2020-12-06
"1083","Latest on the COVID-19 outbreak","China Daily, 5438 words",NA,2020-12-10
"1084","India sees infections rise; Japan secures more beds","China Daily, 624 words",NA,2020-04-21
"1085","Right strategy and policy are the heart and soul of campaign to eliminate poverty","China Daily, 851 words",NA,2020-07-21
"1086","Airlines use promotions on webcam to boost tourism, stimulate ticket sales","China Daily, 750 words",NA,2020-05-19
"1087","Putting people's safety first","China Daily, 959 words",NA,2020-08-07
"1088","Latest on the novel coronavirus outbreak","China Daily, 864 words",NA,2020-07-18
"1089","Oil majors to trim spending for this year","China Daily, 714 words",NA,2020-05-13
"1090","Hong Kong should play to its strengths","China Daily, 777 words",NA,2020-06-04
"1091","Latest on the COVID-19 outbreak","China Daily, 3258 words",NA,2020-11-11
"1092","Latest on the COVID-19 outbreak","China Daily, 3395 words",NA,2020-11-12
"1093","Latest on the COVID-19 outbreak","China Daily, 3181 words",NA,2020-11-10
"1094","Inner Mongolia to adhere to green path","China Daily, 767 words",NA,2020-06-03
"1095","Talented rappers keen to spread word","China Daily, 1197 words",NA,2020-10-13
"1096","Latest on the COVID-19 outbreak","China Daily, 3618 words",NA,2020-11-15
"1097","US accused of double standards on rights","China Daily, 907 words",NA,2020-07-06
"1098","Alert raised over floods in northern China","China Daily, 863 words",NA,2020-07-06
"1099","Western China still bright spot for economy","China Daily, 689 words",NA,2020-04-30
"1100","After lull, equestrian sector back in saddle","China Daily, 743 words",NA,2020-05-20
"1101","Latest on the COVID-19 outbreak","China Daily, 3543 words",NA,2020-11-14
"1102","China Southern expands fleet to boost cargo operations","China Daily, 888 words",NA,2020-06-12
"1103","Firms use new tech to attract customers, enhance efficiency","China Daily, 942 words",NA,2020-06-24
"1104","Latest on the COVID-19 outbreak","China Daily, 3867 words",NA,2020-11-19
"1105","Latest on the COVID-19 outbreak","China Daily, 3812 words",NA,2020-11-18
"1106","Latest on the COVID-19 outbreak","China Daily, 3741 words",NA,2020-11-17
"1107","Latest on the COVID-19 outbreak","China Daily, 3672 words",NA,2020-11-16
"1108","No new Cold War, just one-sided hostility","China Daily, 1219 words",NA,2020-08-28
"1109","CPC-led China firmly on path to prosperity","China Daily, 1108 words",NA,2020-07-27
"1110","Written interview with Asharq Al-Awast by State Councilor and Foreign Minister Wang Yi","China Daily, 4165 words",NA,2020-11-20
"1111","Latest on the COVID-19 outbreak","China Daily, 4053 words",NA,2020-11-21
"1112","Latest on the COVID-19 outbreak","China Daily, 3974 words",NA,2020-11-20
"1113","Rerouting the travel industry","China Daily, 868 words",NA,2020-04-28
"1114","China's war on poverty","China Daily, 1117 words",NA,2020-06-18
"1115","More policies announced to boost economy","China Daily, 906 words",NA,2020-04-21
"1116","Latest on the COVID-19 outbreak","China Daily, 2106 words",NA,2020-10-28
"1117","Latest on the COVID-19 outbreak","China Daily, 2296 words",NA,2020-10-30
"1118","Latest on the COVID-19 outbreak","China Daily, 2265 words",NA,2020-10-29
"1119","Hostile new cold war imperialist narrative needs factual vaccine","China Daily, 1700 words",NA,2020-09-16
"1120","Ski resorts see recovery on horizon","China Daily, 951 words",NA,2020-04-20
"1121","Latest on the COVID-19 outbreak","China Daily, 2521 words",NA,2020-11-02
"1122","Latest on the COVID-19 outbreak","China Daily, 2406 words",NA,2020-10-31
"1123","Latest on the COVID-19 outbreak","China Daily, 2505 words",NA,2020-11-01
"1124","Solidarity, cooperation are the only right choices","China Daily, 1118 words",NA,2020-04-23
"1125","Uygur female presents true picture of Xinjiang","China Daily, 101 words",NA,2020-06-21
"1126","Photo exhibition on Xinjiang held in Pakistan","China Daily, 171 words",NA,2021-03-22
"1127","Fact check: The Xinjiang 'forced labor' smear","China Daily, 52 words",NA,2021-04-05
"1128","List of major Great Wall sections released","China Daily, 112 words",NA,2020-12-01
"1129","Health commission sends working group to Kashgar","China Daily, 78 words",NA,2020-10-25
"1130","Melodies of Spring: Concert of Chinese music to mark Lantern Festival","China Daily, 130 words",NA,2021-02-24
"1131","China summons EU envoy to protest sanctions over Xinjiang","China Daily, 168 words",NA,2021-03-23
"1132","Xinjiang farmer refutes Pompeo claims","China Daily, 105 words",NA,2021-01-28
"1133","Water a precious commodity in Xinjiang 's Qira county","China Daily, 49 words",NA,2020-11-19
"1134","Xinjiang presents raft of activities for tourists","China Daily, 187 words",NA,2020-09-11
"1135","New COVID-19 cases reported in Xinjiang","China Daily, 66 words",NA,2020-11-03
"1136","Kashgar reports 5 new confirmed cases","China Daily, 57 words",NA,2020-10-27
"1137","Tajik ethnic people ready to hit new heights","China Daily, 168 words",NA,2020-07-20
"1138","Amazing China: Mysterious Kanas Lake","China Daily, 59 words",NA,2020-10-08
"1139","Prepare for the worst, scope for the pest","China Daily, 160 words",NA,2020-11-09
"1140","Expect rise in patients with both flu and COVID-19, warns top expert","China Daily, 173 words",NA,2020-11-29
"1141","Main construction complete on giant Artax Dam","China Daily, 157 words",NA,2020-06-04
"1142","Kekeya : A green miracle in 30 years","China Daily, 127 words",NA,2020-10-04
"1143","Final section of loop railway circling Tarim Basin under construction","China Daily, 126 words",NA,2020-09-29
"1144","Beijing legend gets modern treatment","China Daily, 187 words",NA,2020-11-05
"1145","Should mukbanger be banned?","China Daily, 107 words",NA,2020-08-15
"1146","Northwestern destinations stand out in vacationers' searches","China Daily, 150 words",NA,2020-09-08
"1147","Tianjin Municipal Trade Union facilitates targeted poverty alleviation efforts","China Daily, 115 words",NA,2020-08-06
"1148","Reed artworks help incomes grow in Xinjiang","China Daily, 51 words",NA,2020-05-20
"1149","Reed artworks help incomes grow in Xinjiang","China Daily, 49 words",NA,2020-05-20
"1150","Xinjiang 's Aksu: A taste of local life","China Daily, 92 words",NA,2020-06-27
"1151","Reed artworks help incomes grow in Xinjiang","China Daily, 51 words",NA,2020-05-20
"1152","Reed artworks help incomes grow in Xinjiang","China Daily, 47 words",NA,2020-05-20
"1153","24 Solar Terms: 6 things you may not know about Minor Heat","China Daily, 85 words",NA,2020-07-06
"1154","Xinjiang farmer: 'We all live peaceful lives'","China Daily, 103 words",NA,2020-07-07
"1155","Reed artworks help incomes grow in Xinjiang","China Daily, 56 words",NA,2020-05-20
"1156","Kashgar's culinary delights explored in video","China Daily, 97 words",NA,2020-07-01
"1157","Xinjiang man shapes a new future in steel factory","China Daily, 113 words",NA,2020-07-08
"1158","Communications worker marvels at fast growth in Xinjiang","China Daily, 109 words",NA,2020-07-03
"1159","Red alert issued for rains in Sichuan","China Daily, 144 words",NA,2020-08-17
"1160","Busy but wonderful life for Xinjiang property agent","China Daily, 92 words",NA,2020-06-20
"1161","Reed artworks help incomes grow in Xinjiang","China Daily, 68 words",NA,2020-05-20
"1162","Blacksmith forging a future for Xinjiang folk art","China Daily, 106 words",NA,2020-07-07
"1163","Smartphone master' a bridge to world in Xinjiang","China Daily, 101 words",NA,2020-06-23
"1164","PetroChina posts 22% drop in revenue","China Daily, 187 words",NA,2020-08-28
"1165","Xinjiang pastry chef pursues passions with vigor","China Daily, 106 words",NA,2020-06-22
"1166","China Cultural Center reopens exhibition center in Seoul","China Daily, 177 words",NA,2020-07-27
"1167","Making a new mark","China Daily, 116 words",NA,2020-06-21
"1168","China- Kyrgyzstan - Uzbek train route opens","China Daily, 134 words",NA,2020-06-05
"1169","Former Xinjiang official under investigation, anti-corruption bodies say","China Daily, 154 words",NA,2020-06-01
"1170","Where there's a will, there's a train","China Daily, 165 words",NA,2020-06-03
"1171","Online events celebrate cultural center's fifth anniversary","China Daily, 137 words",NA,2020-04-22
"1172","Shopping to help alleviate poverty","China Daily, 192 words",NA,2020-05-29
"1173","High winds hit Xinjiang entry port","China Daily, 154 words",NA,2020-04-09
"1174","Central SOEs ' net profit falls 59% to $18b","China Daily, 163 words",NA,2020-04-20
